Key,en,es,ar
Register Section,Register Section,Sección de registro,قسم التسجيل
Setup Pages,Setup Pages,Páginas de configuración,صفحات الإعداد
Topup,Topup,Topup,فوق حتى
GDPR Cookie,GDPR Cookie,Galleta GDPR,ملف تعريف الارتباط الناتج المحلي الإجمالي
Server Info,Server Info,Información del servidor,معلومات الخادم
Clear Cache,Clear Cache,Limpiar cache,مسح ذاكرة التخزين المؤقت
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والرسوم
Trade Logs,Trade Logs,Registros de comercio,سجلات التجارة
Ongoing Logs,Ongoing Logs,Registros en curso,سجلات مستمرة
Complete Logs,Complete Logs,Registros completos,سجلات كاملة
Close Request Pending,Close Request Pending,Solicitud de cierre pendiente,أغلق طلب معلق
Manual Money Out,Manual Money Out,Dinero manual,يدوي المال
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة
Trade Interval Charge and Fees,Trade Interval Charge and Fees,Cargo por intervalo comercial y tarifas,رسوم الفاصل الزمني التجاري والرسوم
Home,Home,Hogar,بيت
Call Us,Call Us,Llámenos,اتصل بنا
Need Help? Contact our,Need Help? Contact our,¿Necesitas ayuda? Contactar a nuestro,تحتاج مساعدة؟ اتصل بنا
support & tell us about your query.,support & tell us about your query.,Apoye y cuéntenos sobre su consulta.,الدعم وأخبرنا عن استفسارك.
Feedback,Feedback,Comentario,تعليق
Contributors,Contributors,Colaboradores,المساهمين
Tags,Tags,Etiquetas,العلامات
Recent Posts,Recent Posts,Mensajes recientes,المشاركات الاخيرة
EMAIL ADDRESS,EMAIL ADDRESS,DIRECCIÓN DE CORREO ELECTRÓNICO,عنوان البريد الإلكتروني
SCHEDULE,SCHEDULE,CRONOGRAMA,جدول
Setup Top Up Game,Setup Top Up Game,Configurar el juego de recarga,الإعداد أعلى اللعبة
Setup Web Content,Setup Web Content,Configurar contenido web,إعداد محتوى الويب
Setup Section,Setup Section,Sección de configuración,قسم الإعداد
Header Slider,Header Slider,Control deslizante de encabezado,منزلق الرأس
Services,Services,Servicios,خدمات
Donetion,Donetion,Donación,الهروب
About,About,Acerca de,عن
Why Choose,Why Choose,Por qué elegir,لماذا الاختيار
Testimonial,Testimonial,Testimonial,شهادة
Footer,Footer,Pie de página,تذييل
FAQ,FAQ,Preguntas más frecuentes,التعليمات
Category,Category,Categoría,فئة
Blog,Blog,Blog,مدونة
Payment Methods,Payment Methods,Métodos de pago,طرق الدفع
Automatic,Automatic,Automático,تلقائي
Bonus,Bonus,Prima,علاوة
Total Review Top Up,Total Review Top Up,Total Review Top Up,إجمالي المراجعة أعلى لأعلى
Total Pending Top Up,Total Pending Top Up,Total de recarga pendiente,إجمالي معلقة أعلى
Total Settled Top Up,Total Settled Top Up,Total de recarga establecida,إجمالي تسوية أعلى لأعلى
Total Complete Top Up,Total Complete Top Up,Total completo,إجمالي الكامل أعلى لأعلى
Complete:,Complete:,Completo:,مكتمل:
Add Money Balance,Add Money Balance,Agregar saldo de dinero,أضف رصيد الأموال
Success:,Success:,Éxito:,نجاح:
User Active Tickets,User Active Tickets,Tickets activos del usuario,التذاكر النشطة للمستخدم
Pending,Pending,Pendiente,قيد الانتظار
Solved,Solved,Resuelto,تم حلها
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين
Active,Active,Activo,نشيط
Unverified,Unverified,Inconfirmado,لم يتم التحقق منه
Monthly Add Money Chart,Monthly Add Money Chart,Gráfico mensual de dinero Agregar,شهري إضافة الرسم البياني الأموال
Monthly Top Up Chart,Monthly Top Up Chart,Gráfico mensual de recarga,الرسم البياني شهريًا شهريًا
User Analytics,User Analytics,Análisis de usuarios,تحليلات المستخدم
Latest Add Money,Latest Add Money,Último agregar dinero,أحدث إضافة المال
Time,Time,Tiempo,وقت
Title,Title,Título,عنوان
Create Date,Create Date,Fecha de Creación,إنشاء تاريخ
Action,Action,Acción,فعل
Top Up Create,Top Up Create,Recargar crear,تسبق إنشاء
On Hold,On Hold,En espera,في الانتظار
Top Up Details for,Top Up Details for,Recargar detalles para,تسبق التفاصيل ل
Progress of Top Up Transactions,Progress of Top Up Transactions,Progreso de las transacciones de recarga,تقدم معاملات أعلى
Payable,Payable,Pagadero,مستحق الدفع
Recharge,Recharge,Recargar,تعبئة رصيد
Charge,Charge,Cargar,تكلفة
Amount,Amount,Cantidad,كمية
Method,Method,Método,طريقة
Welcome To,Welcome To,Bienvenido a,مرحبا بك في
No data found!,No data found!,¡Datos no encontrados!,لاتوجد بيانات!
Full Name,Full Name,Nombre completo,الاسم الكامل
Username,Username,Nombre de usuario,اسم المستخدم
Phone,Phone,Teléfono,هاتف
Role,Role,Role,دور
Site Base Color,Site Base Color,Color base del sitio,لون قاعدة الموقع
Top Up Game,Top Up Game,Juego de recarga,تتصدر اللعبة
Add Top Up,Add Top Up,Agregar sobremesa,أضف أعلى
Create,Create,Crear,يخلق
Profile Image,Profile Image,Imagen de perfil,صورة الملف الشخصي
Cover Image,Cover Image,Imagen de portada,تغطية الصورة
Recharge Amount,Recharge Amount,Cantidad de recarga,إعادة شحن المبلغ
Price,Price,Precio,سعر
Download App,Download App,Descargar aplicación,تحميل التطبيق
Top Up Edit,Top Up Edit,Superar editar,تعديل أعلى
Type,Type,Tipo,يكتب
Add,Add,Agregar,يضيف
Review Payment Logs,Review Payment Logs,Revise los registros de pago,مراجعة سجلات الدفع
Confirm Payment Logs,Confirm Payment Logs,Confirmar registros de pago,تأكيد سجلات الدفع
Delayed Logs,Delayed Logs,Registros retrasados,سجلات تأخر
All Logs,All Logs,Todos los registros,جميع السجلات
Login Information,Login Information,Información Entrar,معلومات تسجيل الدخول
Manual,Manual,Manual,يدوي
Contact,Contact,Contacto,اتصال
Notification,Notification,Notificación,إشعار
Review Logs,Review Logs,Registros de revisión,مراجعة سجلات
Confirm Logs,Confirm Logs,Confirmar registros,تأكيد سجلات
On Hold Logs,On Hold Logs,En espera registros,على سجلات التعليق
Settled Logs,Settled Logs,Registros establecidos,سجلات تسوية
Completed Logs,Completed Logs,Registros completados,سجلات مكتملة
Canceled Logs,Canceled Logs,Registros cancelados,سجلات ملغاة
Failed Logs,Failed Logs,Registros fallidos,سجلات فاشلة
Refunded Logs,Refunded Logs,Registros reembolsados,سجلات استرداد
Dalayed Logs,Dalayed Logs,Troncos dalayed,سجلات Dalayed
OTP Expiration,OTP Expiration,Vencimiento de OTP,انتهاء صلاحية OTP
Timezone,Timezone,Zona horaria,وحدة زمنية
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط
Extensions,Extensions,Extensiones,الامتدادات
Please input your email and password and login to your account to get access to your dashboard.,Please input your email and password and login to your account to get access to your dashboard.,Ingrese su correo electrónico y contraseña e inicie sesión en su cuenta para obtener acceso a su tablero.,يرجى إدخال بريدك الإلكتروني وكلمة المرور وتسجيل الدخول إلى حسابك للوصول إلى لوحة القيادة الخاصة بك.
Don't Have An Account?,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟
Register Now,Register Now,Regístrate ahora,سجل الان
Register Information,Register Information,Registrar información,تسجيل المعلومات
Please input your details and register to your account to get access to your dashboard.,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su tablero.,يرجى إدخال التفاصيل الخاصة بك والتسجيل في حسابك للوصول إلى لوحة القيادة الخاصة بك.
Privacy Policy,Privacy Policy,política de privacidad,سياسة الخصوصية
I have agreed with,I have agreed with,He estado de acuerdo con,لقد وافقت مع
Game Topup,Game Topup,Topup del juego,لعبة اشحن رصيدك
Add Money,Add Money,Agregar dinero,إضافة المال
Transaction,Transaction,Transacción,عملية
Purchase Logs,Purchase Logs,Comprar registros,سجلات الشراء
Help Center,Help Center,Centro de ayuda,مركز المساعدة
How can we help you?,How can we help you?,como podemos ayudarte?,كيف يمكننا مساعدتك؟
Get Support,Get Support,Obtener apoyo,احصل على الدعم
Overview,Overview,Descripción general,ملخص
Balance,Balance,Balance,توازن
Total Top Up,Total Top Up,Total de recarga,مجموع أعلى
Total Transaction,Total Transaction,Transacción total,المعاملة الكلية
Add Money Chart,AddMoney Chart,Gráfico de addmoney,إضافة الرسم البياني المال
Top Up Games Chart,Top Up Games Chart,Traile de juegos de recopilación de juegos,قم بتوضيح الرسم البياني للألعاب
Transaction Log,Transaction Log,Registro de transacciones,سجل المعاملات
View More,View More,Ver más,عرض المزيد
Profile,Profile,Perfil,حساب تعريفي
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي
Delete,Delete,Borrar,يمسح
Country,Country,País,دولة
Change,Change,Cambiar,يتغير
Are you sure to delete,Are you sure to delete,¿Estás seguro de eliminar?,هل انت متأكد من الحذف
Delete Account,Delete Account,Borrar cuenta,حذف الحساب
Close,Close,Cerca,يغلق
"again and like your account deleted, we can take card of this for you. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","again and like your account deleted, we can take card of this for you. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","De nuevo y al igual que su cuenta eliminada, podemos tomar una tarjeta de esto para usted. Tenga en cuenta que no podrá reactivar su cuenta o recuperar ninguno de los contenidos o información que haya agregado. Si aún desea que su cuenta se elimine, haga clic en ""Eliminar cuenta"".","مرة أخرى ومثل حسابك المحذوفة ، يمكننا أخذ بطاقة من هذا لك. ضع في اعتبارك أنك لن تتمكن من إعادة تنشيط حسابك أو استرداد أي من المحتوى أو المعلومات التي أضفتها. إذا كنت لا تزال تحب حذف حسابك ، فانقر فوق ""حذف الحساب"".؟"
Update,Update,Actualizar,تحديث
Top Up,Top Up,Completar,فوق حتى
Support Tickets,Support Tickets,Boletos de apoyo,تذاكر الدعم الفني
Add New,Add New,Agregar nuevo,اضف جديد
Ticket ID,Ticket ID,Identificación de entradas,معرف التذاكر
Email,Email,Correo electrónico,بريد إلكتروني
Message,Message,Mensaje,رسالة
Last Reply,Last Reply,Última respuesta,الرد الأخير
Transactions,Transactions,Actas,المعاملات
Top Up Balance via,Top Up Balance via,Superar el equilibrio a través de,قم بتوازن التوازن عبر
Time & Date,Time & Date,Hora Fecha,الوقت والتاريخ
Transaction ID,Transaction ID,ID de transacción,رقم المعاملة
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف
Fees & Charge,Fees & Charge,Tarifas y cargo,الرسوم والشحن
Total Amount,Total Amount,Cantidad total,المبلغ الإجمالي
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,اثنان عامل المصادقة
Disable,Disable,Desactivar,إبطال
Enable,Enable,Permitir,يُمكَِن
Login/Register,Login/Register,Iniciar sesión/registrarse,دخولتسجيل
Please,Please,Por favor,لو سمحت
Your Account,Your Account,Su cuenta,الحساب الخاص بك
Add Money Summary,Add Monay Summary,Agregar resumen de monay,أضف ملخص المال
Entered Amount,Entered Amount,Cantidad ingresada,تم إدخال المبلغ
Total Fees,Total Fees,Tarifas totales,الرسوم الكلية
Charges,Charges,Cargos,رسوم
Will Get,Will Get,Obtendrá,سوف تحصل
Total Payable Amount,Total Payable Amount,Monto total por pagar,إجمالي المبلغ المستحق
Confirm,Confirm,Confirmar,يتأكد
Payment Gateway,Payment Gateway,Pasarela,بوابة الدفع
Available Balance,Available Balance,Saldo disponible,الرصيد المتوفر
Add Balance via,Add Balance via,Agregar balance a través de,أضف التوازن عبر
Are You Sure To,Are You Sure To,¿Estás seguro de,هل أنت متأكد من ذلك
Logout,Logout,Cerrar sesión,تسجيل خروج
Add New Ticket,Add New Ticket,Agregar nuevo boleto,أضف تذكرة جديدة
Name,Name,Nombre,اسم
Subject,Subject,Sujeto,موضوع
Image,Image,Imagen,صورة
Transactions & Logs,Transactions & Logs,Transacciones y registros,المعاملات والسجلات
Password,Password,Contraseña,كلمة المرور
Reset,Reset,Reiniciar,إعادة ضبط
Username OR Email Address,Username OR Email Address,Nombre de usuario o dirección de correo electrónico,اسم المستخدم أو البريد الالكتروني
Send,Send,Enviar,يرسل
Enter your account email address or username,Enter your account email address or username,Ingrese la dirección de correo electrónico o nombre de usuario de su cuenta,أدخل عنوان بريدك الإلكتروني أو اسم المستخدم
Reset Password,Reset Password,Restablecer la contraseña,إعادة تعيين كلمة المرور
Login,Login,Acceso,تسجيل الدخول
Forgot Password?,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟
Enter your email and we'll send you a otp to reset your password.,Enter your email and we'll send you a otp to reset your password.,Ingrese su correo electrónico y le enviaremos un OTP para restablecer su contraseña.,أدخل بريدك الإلكتروني وسنرسل لك OTP لإعادة تعيين كلمة المرور الخاصة بك.
credentials,credentials,cartas credenciales,أوراق اعتماد
Already Have An Account?,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب؟
You can resend the code after,You can resend the code after,Puede reenviar el código después,يمكنك إعادة تقديم الرمز بعد
Submit,Submit,Entregar,يُقدِّم
Please enter the code,Please enter the code,Ingrese el código,الرجاء إدخال الرمز
We sent a 6 digit code on,We sent a 6 digit code on,Enviamos un código de 6 dígitos en,أرسلنا رمزًا مكون من 6 أرقام على
Authenticator App,Authenticator App,Aplicación de autenticador,تطبيق المصادقة
Transaction Logs,Transaction Logs,Registros de transacciones,سجلات المعاملات
First Name,First Name,Nombre de pila,الاسم الأول
Last Name,Last Name,Apellido,اسم العائلة
Address,Address,DIRECCIÓN,عنوان
City,City,Ciudad,مدينة
State,State,Estado,ولاية
Zip Code,Zip Code,Código postal,الرمز البريدي
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور
Current Password,Current Password,Contraseña actual,كلمة السر الحالية
New Password,New Password,Nueva contraseña,كلمة المرور الجديدة
Confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور
Automatic Add Money,Automatic Add Money,Automático Agregar dinero,تلقائي إضافة المال
Gateway,Gateway,Puerta,بوابة
Supported Currency,Supported Currency,Moneda compatible,العملة المدعومة
Enabled Currency,Enabled Currency,Moneda habilitada,عملة ممكّنة
Status,Status,Estado,حالة
Subscribers,Subscribers,Suscriptores,مشتركين
Send Mail,Send Mail,Enviar correo,ارسل بريد
Email To Subscribers,Email To Subscribers,Correo electrónico a suscriptores,البريد الإلكتروني للمشتركين
Details,Details,Detalles,تفاصيل
Contact Message,Contact Message,Mensaje de contacto,اتصل بالرسالة
Contacts,Contacts,Contactos,جهات الاتصال
Add Automatic Gateway (Add Money),Add Automatic Gateway (Add Money),Agregar puerta de enlace automática (agregar dinero),أضف بوابة أوتوماتيكية (إضافة أموال)
Gateway Title,Gateway Title,Título de puerta de enlace,عنوان البوابة
Supported Currencies,Supported Currencies,Monedas compatibles,العملات المدعومة
Genarate Fields,Genarate Fields,Campos de genarato,حقول الجينارات
Instruction,Instruction,Instrucción,تعليمات
Gateway Image,Gateway Image,Imagen de puerta de enlace,بوابة صورة
Manual Add Money,Manual Add Money,Manual Agregar dinero,يدوي إضافة المال
Gateway Name,Gateway Name,Nombre de la puerta de enlace,اسم البوابة
Currency Code,Currency Code,Código de moneda,رمز العملة
Currency Symbol,Currency Symbol,Símbolo de moneda,رمز العملة
Automatic Add Money Edit,Automatic Add Money Edit,Automático agregar dinero editar,إضافة أموال تلقائي
Update Gateway,Update Gateway,Actualización de la puerta de enlace,تحديث بوابة
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ
Contact List,Contact List,Lista de contactos,قائمة الإتصال
Subscriber List,Subscriber List,Lista de suscriptores,قائمة المشتركين
Useful Links,Useful Links,Enlaces útiles,روابط مفيدة
Interface Panel,INTERFACE PANEL,Panel de interfaz,لوحة واجهة
Top Up Logs,Top Up Logs,Logios de recarga,قم بتوضيح السجلات
Newsletter,Newsletter,Boletin informativo,النشرة الإخبارية
Total Transactions,Total Transactions,Transacciones totales,إجمالي المعاملات
Available Country,Available Country,País disponible,البلد المتاح
"No data found!
",No data found!,¡Datos no encontrados!,"لاتوجد بيانات!
"
"Total Top Up
",Total Top Up,Total de recarga,"مجموع أعلى
"
AddMoney Chart,AddMoney Chart,Gráfico de addmoney,الرسم البياني addmoney
Google Authenticator,Google Authenticator,Autenticador de Google,مصادقة Google
Download Google Authenticator App,Download Google Authenticator App,Descargar la aplicación Google Authenticator,تنزيل تطبيق Google Authenticator
Subscribe,Subscribe,Suscribir,يشترك
Categories,Categories,Categorías,فئات
Billing Details,Billing Details,Detalles de facturación,تفاصيل الفاتورة
Your Order,Your Order,Su pedido,طلبك
Pay Now,Pay Now,Pagar ahora,ادفع الآن
Summary,Summary,Resumen,ملخص
Buy Game Credit,Buy Game Credit,Comprar crédito del juego,شراء ائتمان اللعبة
app,app,aplicación,برنامج
Closed Logs,Closed Logs,Registros cerrados,سجلات مغلقة
Marketplace Logs,Marketplace Logs,Registros de mercado,سجلات السوق
Money Out,Money Out,Apagarse,لم يبقى اي من المال
Push Notification,Push Notification,Notificación de inserción,إشعار دفع
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد
Send Notification,Send Notification,Enviar notificación,إرسال إشعار
About Us,About Us,Sobre nosotros,معلومات عنا
Faqs,Faqs,Preguntas frecuentes,الأسئلة الشائعة
Web Journal,Web Journal,Diario web,مجلة الويب
Contact Us,Contact Us,Contáctenos,اتصل بنا
Fee Calculator,Fee Calculator,Calculadora de tarifas,حاسبة الرسوم
Watch Video,Watch Video,Ver video,شاهد الفيديو
Years Of Ecperience,Years Of Ecperience,Años de la época,سنوات من التجربة
Login Now,Login Now,Inicia sesión ahora,تسجيل الدخول الآن
TRX ID,TRX ID,TRX ID,معرف TRX
If you do not think you will use,If you do not think you will use,Si no crees que usarás,إذا كنت لا تعتقد أنك ستستخدم
please Fill Out The Field,Please Fill Out The Field,Por favor complete el campo,يرجى ملء الحقل
ngn,NGN,NGN,NGN
player Id Field,Player Id Field,Campo de identificación del jugador,حقل معرف اللاعب
guest User,Guest User,Usuario invitado,حساب زائر
your Money Has Been,Your Money Has Been,Tu dinero ha sido,لقد كانت أموالك
you Need To Sign In First,You Need To Sign In First,Primero necesitas iniciar sesión,تحتاج إلى تسجيل الدخول أولاً
you Are Signed In Already,You Are Signed In Already,Ya estás iniciado,لقد وقعت بالفعل
evidence Note,Evidence Note,Nota de evidencia,ملاحظة الأدلة
paypal,Paypal,Paypal,PayPal
change Theme,Change Theme,Cambiar de tema,غير الخلفية
okay,Okay,Bueno,تمام
Failed,Failed,Fallido,فشل
Canceled,Canceled,Cancelado,ألغيت
Rate,Rate,Tasa,معدل
verification Code,Verification Code,Código de verificación,رمز التحقق
ops,Ops,Operaciones,OPS
enter The Two Fa Verification,Enter The Two Fa Verification,Ingrese las dos verificación FA,أدخل التحقق من FA
your Money Deposit Success,Your Money Deposit Success,Su éxito de depósito de dinero,نجاح إيداع المال الخاص بك
tab And Hold,Tab & Hold,Tab & Hold,علامة التبويب والعقد
card Number,Card Number,Número de tarjeta,رقم البطاقة
Completed,Completed,Terminado,مكتمل
two Fa Disabled,Two FA Disabled,Dos FA discapacitados,اثنان معاقين FA
two Fa Enabled,Two FA Enabled,Dos FA habilitado,اثنين من FA تمكين
confirm Payment,Confirm Payment,Confirmar pago,تأكيد الدفع
stripe,Stripe,Raya,شريط
card Holder,Card Holder,Titular de la tarjeta,حامل البطاقة
payment Successful,Payment Successful,Pago exitoso,الدفع ناجح
valid Thru,Valid Thru,Válido,صالح من خلال
card Added Successfully,Card Added Successfully,Tarjeta agregada con éxito,تمت إضافة البطاقة بنجاح
use Your Card To Make Payments,Use Your Card To Make Payments,Usa tu tarjeta para hacer pagos,استخدم بطاقتك لإجراء المدفوعات
buy Now,Buy Now,Comprar ahora,اشتري الآن
select Payment Gateway,Select Payment Gateway,Seleccione la pasarela de pago,حدد بوابة الدفع
two FA Msg,Two FA Msg,Dos fa msg,اثنين من FA MSG
total Transfer,Total Transfer,Transferencia total,النقل الكلي
enter State,Enter State,Ingrese el estado,إدخال الدولة
enter First Name,Enter First Name,Ingrese el primer nombre,أدخل الاسم الأول
continues,Continues,Continúa,متواصل
user Id,User Id,ID de usuario,معرف المستخدم
enter City,Enter City,Entrar en la ciudad,أدخل المدينة
enter Zip Code,Enter Zip Code,Ingresa tu código postal,أدخل الرمز البريدي
enter Address,Enter Address,Ingresa la direccion,أدخل العنوان
enter Last Name,Enter Last Name,Introduzca el apellido,إدخال اسم آخر
enter Phone Number,Enter Phone Number,Ingresa número telefónico,أدخل رقم الهاتف
update Profile,Update Profile,Actualización del perfil,تحديث الملف
your Product Has Been Purchased Successfully,Your Product Has Been Purchased Successfully,Su producto ha sido comprado con éxito,تم شراء منتجك بنجاح
enter User ID,Enter User ID,Ingrese la identificación de usuario,أدخل معرف المستخدم
buy Mc Credit,Buy MC Credit,Comprar crédito MC,شراء MC الائتمان
accept Privacy Policy,Accept Privacy Policy,Aceptar Política de privacidad,قبول سياسة الخصوصية
sign In Now,Sign In Now,Regístrate,قم بتسجيل دخولك الآن
select Recharge,Select Recharge,Seleccionar recarga,حدد إعادة الشحن
sign In With Google,Sign In With Google,Inicia sesión con Google,الدخول مع جوجل
sign Up,Sign Up,Inscribirse,اشتراك
enter Player ID,Enter Player ID,Ingrese la identificación del jugador,أدخل معرف اللاعب
purchasing Details,Purchasing Details,Detalles de compra,تفاصيل الشراء
es,es,cepalle,ES
search Here,Search Here,Busca aquí,ابحث هنا
you Will Get,You Will Get,Conseguirás,ستحصل
amount Information,Amount Information,Cantidad de información,معلومات المبلغ
limit,Limit,Límite,حد
proceed,Proceed,Proceder,يتابع
view All,View All,Ver todo,عرض الكل
adventureAndFps,Adventure & Fps,Aventura y FPS,AdventureAndfps
search,Search,Buscar,يبحث
steamAndXbox,Steam & Xbox,Steam & Xbox,steamandxbox
ghost Flok,Ghost Flok,Fantasma,شبح
explore,Explore,Explorar,يستكشف
top Up Games,Top Up Games,Juegos de recarga,أعلى الألعاب
go To Dashboard,Go To Dashboard,Ir al panel de control,الذهاب إلى لوحة القيادة
resend Otp,Resend Otp,Reiniciar OTP,إعادة إرسال OTP
enter Password,Enter Password,Introducir la contraseña,أدخل كلمة المرور
enter Old Password,Enter Old Password,Ingrese la contraseña antigua,أدخل كلمة المرور القديمة
enter New Password,Enter New Password,Ingrese nueva clave,أدخل كلمة مرور جديدة
enter Confirm Password,Enter Confirm Password,Ingrese Confirmar contraseña,أدخل تأكيد كلمة المرور
enter Name,Enter Name,Ingrese su nombre,أدخل الاسم
sign Up For Use,Sign Up For Use,Regístrese para su uso,اشترك للاستخدام
enter Email,Enter Email,Ingrese correo electrónico,أدخل البريد الإلكتروني
verified Successfully,Verified Successfully,Verificado con éxito,تم التحقق منه بنجاح
password Verified Successfully,Password Verified Successfully,Contraseña verificada correctamente,تم التحقق من كلمة المرور بنجاح
verify,Verify,Verificar,يؤكد
forget Password,Forget Password,Contraseña olvidada,ننسى كلمة المرور
preview,Preview,Avance,معاينة
get Started,Get Started,Empezar,البدء
enter The OTP Code Sent To,Enter The OTP Code Sent To,Ingrese el código OTP enviado a,أدخل رمز OTP المرسلة إلى
oTP Verification,OTP Verification,Verificación OTP,التحقق من OTP
email Verification,Email Verification,verificacion de email,تأكيد بواسطة البريد الالكتروني
resend,Resend,Reenviar,إعادة إرسال
enter,Enter,Ingresar,يدخل
reset Your Password,Reset Your Password,Restablecer su contraseña,اعد ضبط كلمه السر
congratulations,Congratulations!!,¡¡Felicidades!!,تهانينا
create Account,Create Account,Crear una cuenta,إنشاء حساب
transfer,Transfer,Transferir,تحويل
exchange,Exchange,Intercambio,تبادل
request,Request,Pedido,طلب
recent Transaction,Recent Transaction,Transacción reciente,المعاملة الأخيرة
my Invoice,My Invoice,Mi factura,فاتورتي
my Voucher,My Voucher,Mi cupón,قسيمي
sign Out,Sign Out,Desconectar,خروج
preview Screen,Preview Screen,Pantalla previa,شاشة المعاينة
total Fees And Charges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والرسوم
total Payable,Total Payable,Total a pagar,إجمالي الدفع
money Exchange,Money Exchange,Cambio de dinero,حوالة نقدية
from,From,De,من
to,To,A,ل
request Money,Request Money,Pedir dinero,طلب المال
remarks,Remarks,Observaciones,ملاحظات
optional,Optional,Opcional,خياري
share Request Money,Share Request Money,Solicitar dinero para compartir dinero,مشاركة طلب المال
share,Share,Compartir,يشارك
money Transfer,Money Transfer,Transferencia de dinero,تحويل المال
receiver,Receiver,Receptor,المتلقي
forgot,Forgot,Olvidó,نسيت
mobile Number,Mobile Number,Número de teléfono móvil,رقم الهاتف المحمول
paid,Paid,Pagado,مدفوع
sent,Sent,Enviado,مرسل
invoice Number,Invoice Number,Número de factura,رقم الفاتورة
invoice Date,Invoice Date,Fecha de la factura,تاريخ الفاتورة
currency,Currency,Divisa,عملة
pick Goods,Pick Goods,Seleccionar artículos,اختر البضائع
trick Goods,Rick Goods,Bienes de rick,خدعة البضائع
total Bill,Total Bill,Cuenta total,إجمالي الفاتورة
